price_coffee,price_oil,prediction
1713.0,59.33,1604.8762
1685.0,56.16,1632.7487
1670.0,58.24,1662.0626
1675.0,57.04,1680.372
1661.0,54.95,1687.9415
1669.0,54.39,1686.5419
1655.0,53.62,1682.4468
1625.0,49.62,1675.6827
1622.0,49.93,1666.4828
1674.0,54.5,1659.9481
1681.0,50.77,1651.7795
1721.0,54.44,1648.2152
1746.0,54.43,1656.0939
1694.0,49.28,1670.7494
1675.0,46.96,1682.3418
1669.0,46.79,1691.8547
1580.0,43.67,1695.8689
1564.0,40.81,1693.0055
1605.0,43.71,1681.2518
1619.0,42.07,1663.3171
1646.0,43.52,1641.3932
1661.0,47.98,1624.6003
1641.0,46.28,1616.9701
1638.0,44.51,1618.236
1620.0,43.6,1621.8044
1634.0,40.06,1625.2306
1648.0,36.22,1626.221
1597.0,33.87,1626.1323
1573.0,39.91,1622.4773
1547.0,38.98,1612.8516
1549.0,35.35,1600.5157
1533.0,40.02,1587.4897
1544.0,39.03,1573.2701
1522.0,44.6,1559.5442
1565.0,46.34,1550.9177
1545.0,48.81,1545.0568
1648.0,48.58,1540.3779
1623.0,42.63,1538.7874
1620.0,41.7,1539.3365
1674.0,40.83,1542.252
1639.0,37.59,1547.1859
1623.0,37.78,1556.1364
1614.0,37.28,1570.533
1609.0,35.4,1587.4778
1662.0,36.51,1600.1183
1656.0,38.74,1607.7802
1668.0,43.55,1609.2998
1695.0,43.67,1611.1376
1706.0,46.47,1620.3171
1718.0,45.73,1635.8511
1715.0,41.58,1657.8368
1713.0,42.16,1673.8403
1715.0,41.44,1685.6295
1715.0,41.68,1694.1676
1665.0,40.08,1698.2559
1659.0,40.78,1698.5392
1597.0,40.32,1694.3455
1649.0,41.17,1685.467
1665.0,40.17,1674.5013
1655.0,39.56,1663.1993
1608.0,37.55,1655.0367
1614.0,35.94,1648.5425
1575.0,33.98,1641.9045
1578.0,37.51,1630.1685
1572.0,34.93,1616.2587
1566.0,34.62,1601.1658
1577.0,39.48,1586.9526
1558.0,38.94,1574.3427
1573.0,38.44,1562.4264
1572.0,39.96,1556.6241
1565.0,42.5,1552.4004
1557.0,45.22,1549.3699
1543.0,44.76,1546.4716
1512.0,40.15,1543.6147
1498.0,41.65,1540.4716
1524.0,45.38,1536.248
1516.0,43.61,1532.5094
1510.0,45.52,1529.9689
1464.0,47.07,1527.3228
1432.0,45.71,1524.6648
1422.0,42.33,1521.3484
1528.0,47.03,1516.9495
1539.0,46.25,1512.6978
1525.0,47.35,1509.6256
1509.0,49.16,1508.2716
1522.0,48.14,1508.0798
1550.0,51.61,1508.06
1535.0,51.06,1508.6587
